"id","id_estructura","id_cronograma","id_estructura_cronograma","hcitacion","hsalida","hllegada","hfinserv","i_v","id_turno","id_estructura_turno","id_TipoServicio","id_estructura_TipoServicio","activo","id","id_estructura","nombre","km","id_cliente","id_estructura_cliente","vacio","activo","tiempo_viaje","ciudades_id_origen","ciudades_id_estructura_origen","ciudades_id_destino","ciudades_id_estructura_destino","claseServicio_id","claseServicio_id_estructura","id_cliente_vacio","id_estructura_cliente_vacio"
2462,1,123,1,"21:30:00","22:00:00","23:35:00","23:30:00","v",3,1,2,1,1,123,1,"BSAS-SAL",91,10,1,0,1,"01:40:00",3,1,27,1,5,1,,
2467,1,73,1,"21:30:00","22:00:00","23:35:00","23:30:00","v",3,1,2,1,1,73,1,"BS AS 4 (Adm - Saav)-Salida",85,10,1,0,1,"01:10:00",3,1,27,1,5,1,,
2472,1,1051,1,"00:10:00","00:40:00","02:10:00","02:00:00","v",3,1,2,1,1,1051,1,"Adicional a Del Viso",125,10,1,0,1,"01:00:00",3,1,29,1,5,1,,
2483,1,69,1,"21:30:00","22:00:00","23:35:00","23:30:00","v",3,1,2,1,1,69,1,"DEL VISO-SAL",125,10,1,0,1,"01:00:00",3,1,29,1,5,1,,
2485,1,71,1,"21:30:00","22:00:00","23:05:00","23:00:00","v",3,1,2,1,1,71,1,"PILAR-SAL",120,10,1,0,1,"01:00:00",3,1,34,1,5,1,,
2503,1,84,1,"10:35:00","11:05:00","11:45:00","11:40:00","i",1,1,2,1,1,84,1,"ZTE 1-ENT",37,10,1,0,1,"00:40:00",3,1,3,1,5,1,,
2505,1,92,1,"10:35:00","11:05:00","11:45:00","11:40:00","i",1,1,2,1,1,92,1,"ZTE 3-ENT",22,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
2506,1,96,1,"10:25:00","10:55:00","11:45:00","11:40:00","i",1,1,2,1,1,96,1,"ZTE 4-ENT",22,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
2507,1,313,1,"10:30:00","11:10:00","12:10:00","12:00:00","i",1,1,2,1,1,313,1,"BACK-UP  ZTE",24,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
2512,1,700,1,"10:35:00","11:05:00","11:45:00","11:40:00","i",1,1,2,1,1,700,1,"Ent. Ref.Larrea",37,10,1,0,1,"00:50:00",3,1,3,1,5,1,,
2519,1,118,1,"20:10:00","20:40:00","21:45:00","21:40:00","i",3,1,2,1,1,118,1,"CNAREF-SAL",34,10,1,0,1,"00:50:00",3,1,1,1,5,1,,
2521,1,87,1,"20:10:00","20:40:00","21:45:00","21:40:00","v",3,1,2,1,1,87,1,"ZTE 2-SAL",22,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
2522,1,91,1,"20:10:00","20:40:00","21:45:00","21:40:00","v",3,1,2,1,1,91,1,"ZTE 3- SAL",22,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
2523,1,95,1,"20:10:00","20:40:00","21:45:00","21:40:00","v",3,1,2,1,1,95,1,"ZTE 4-SAL",22,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
2524,1,80,1,"20:10:00","20:40:00","21:45:00","21:40:00","v",3,1,2,1,1,80,1,"ZTEREF-SAL",37,10,1,0,1,"00:50:00",3,1,6,1,5,1,,
2527,1,123,1,"20:10:00","20:40:00","23:05:00","23:00:00","v",1,1,2,1,1,123,1,"BSAS-SAL",91,10,1,0,1,"01:40:00",3,1,27,1,5,1,,
