BS AS 2 (Adm - Centro)-Entrada;7394;05:40:00;05:50:00;Administracion;Mañana;i
Adic. Adm. Callao - Entrada;11029;04:00:00;05:50:00;Administracion;Mañana;i
BACK-UP LUJAN;2358;04:50:00;05:50:00;Produccion;Mañana;i
BS AS 1 (Adm - Callao)-Entrada;8995;05:40:00;05:50:00;Administracion;Mañana;i
REF.ADM.LUJAN;1255;05:45:00;05:55:00;Administracion;Mañana;i
ADM.ENT.MORENO;1261;05:45:00;05:55:00;Administracion;Mañana;i
BACK-UP CAP FED;2363;04:55:00;05:55:00;Produccion;Mañana;i
LUJAN 2 - Entrada;2356;04:55:00;05:55:00;Produccion;Mañana;i
BS AS 2 (Adm - Centro)-Entrada;8996;05:27:00;05:57:00;Administracion;Mañana;i
Adic. Adm. Constitucion - Ent;11027;04:00:00;05:57:00;Administracion;Mañana;i
LUJAN - (Adm) - Entrada;8759;05:30:00;06:00:00;Administracion;Mañana;i
Adicional Ruta 202;3153;05:45:00;06:00:00;Produccion;Tarde;v
BS AS 2 (Adm - Centro)-Entrada;137;05:50:00;06:00:00;Administracion;Mañana;i
Adic. Adm. La Noria - Entrada;11031;04:00:00;06:00:00;Administracion;Mañana;i
BACK-UP CAP FED;749;05:30:00;06:00:00;Administracion;Mañana;i
BS AS 3 (Adm - Noria)-Entrada;7395;05:50:00;06:00:00;Administracion;Mañana;i
REF.ADM.197;1257;05:50:00;06:00:00;Administracion;Mañana;i
Adic. Adm. Moreno - Entrada;11049;04:05:00;06:05:00;Administracion;Mañana;i
Adic. Adm. Lujan - Entrada;11047;04:05:00;06:05:00;Administracion;Mañana;i
BS AS 1 (Adm - Callao)-Entrada;135;05:35:00;06:05:00;Administracion;Mañana;i
REF.ADM.S.PEDRO;1254;05:40:00;06:10:00;Administracion;Mañana;i
San Pedro - (Adm) - Entrada;8757;05:40:00;06:10:00;Administracion;Mañana;i
Adic. Adm. San Pedro - Entrada;11045;04:10:00;06:10:00;Administracion;Mañana;i
BS AS 1 (Adm - Callao)-Entrada;7397;06:00:00;06:10:00;Administracion;Mañana;i
BS AS 3 (Adm - Noria)-Entrada;186;06:00:00;06:10:00;Administracion;Mañana;i
Admi-SAN PEDRO;1238;04:30:00;06:10:00;Administracion;Mañana;i
Adic. Adm. San Miguel - Ent;11033;04:15:00;06:15:00;Administracion;Mañana;i
MORENO - Entrada;2357;05:45:00;06:15:00;Produccion;Mañana;i
Rec. Sabado Bs. As.;8798;05:45:00;06:15:00;Produccion;Mañana;i
BS AS 5 (Adm - S. M.) -Entrada;7396;05:45:00;06:15:00;Administracion;Mañana;i
Adic. Adm. S. A. de Giles -Ent;11061;05:00:00;06:20:00;Administracion;Mañana;i
BSAS 7(Adm-Ref-Callao)-Entrada;4605;06:20:00;06:22:00;Administracion;Mañana;i
BS AS 1 (Adm - Callao)-Entrada;1387;06:20:00;06:22:00;Administracion;Mañana;i
Adic. Adm. Saavedra - Entrada;11035;04:25:00;06:25:00;Administracion;Mañana;i
BS AS 5 (Adm - S. M.) -Entrada;1428;05:30:00;06:25:00;Administracion;Mañana;i
BARADERO - (Adm) - Entrada;6176;06:20:00;06:25:00;Administracion;Mañana;i
BS AS 4 (Adm - Saav)-Entrada;1105;05:55:00;06:25:00;Administracion;Mañana;i
Adic. Adm. Del Viso - Entrada;11037;05:00:00;06:25:00;Administracion;Mañana;i
LUJAN 1 - Entrada;2355;06:00:00;06:25:00;Produccion;Mañana;i
Adic. Adm. Baradero - Entrada;11043;05:00:00;06:25:00;Administracion;Mañana;i
Rec. Sabados Baradero;8800;06:00:00;06:30:00;Produccion;Mañana;i
BSAS 7(Adm-Ref-Callao)-Entrada;7398;06:20:00;06:30:00;Administracion;Mañana;i
Adicional Adm. Pilar - Entrada;11039;05:00:00;06:30:00;Administracion;Mañana;i
PILAR - (Adm) - Entrada;8762;05:00:00;06:30:00;Administracion;Mañana;i
ESCOBAR 1 -Entrada;2361;05:30:00;06:30:00;Produccion;Mañana;i
REF.CALLAO y Santa Fe;1271;06:20:00;06:35:00;Administracion;Mañana;i
ADM.BAR.;116;06:05:00;06:35:00;Administracion;Mañana;i
BARADERO - (Adm) - Entrada;4109;06:30:00;06:35:00;Administracion;Mañana;i
Bar Adm;1103;06:20:00;06:35:00;Administracion;Mañana;i
ADM PILAR;7320;05:00:00;06:35:00;Administracion;Mañana;i
CAMPANA 1 - Entrada;2342;06:00:00;06:35:00;Produccion;Mañana;i
ADM.BAR.;1258;06:25:00;06:35:00;Administracion;Mañana;i
Ref. Adm. Baradero;2874;06:05:00;06:35:00;Administracion;Mañana;i
BS AS 4 (Adm - Saav)-Salida;195;06:00:00;06:36:00;Administracion;Mañana;i
SAN MIGUEL - SALIDA(MANTENIMIENTO);11290;06:10:00;06:40:00;Produccion;Noche;v
BARADERO - SALIDA (MANTENIMIENTO);11307;06:10:00;06:40:00;Produccion;Noche;v
DEL VISO-ENT;2359;05:40:00;06:40:00;Produccion;Mañana;i
Zarate-Salida (Mantenimiento);9863;06:10:00;06:40:00;Produccion;Noche;v
LUJAN - SALIDA (MANTENIMIENTO);11286;06:10:00;06:40:00;Produccion;Noche;v
Refuerzo Adm Constitucion;11518;06:10:00;06:40:00;Administracion;Mañana;i
SAN PEDRO - SALIDA (MANTENIMIENTO);11298;06:10:00;06:40:00;Produccion;Noche;v
PILAR - SALIDA(MANTENIMIENTO);11294;06:10:00;06:40:00;Produccion;Noche;v
Campana-Salida (Mantenimiento);9866;06:10:00;06:40:00;Produccion;Noche;v
PILAR-ENT;2360;05:45:00;06:45:00;Produccion;Mañana;i
RUTA 197 - ZTE;2366;05:45:00;06:45:00;Produccion;Mañana;i
REF.ADM.PILAR;1252;06:15:00;06:45:00;Administracion;Mañana;i
ESCOBAR 2 (Matheu) - Entrada;2362;05:45:00;06:45:00;Produccion;Mañana;i
ADM. LA NORIA;1393;05:49:00;06:49:00;Administracion;Mañana;i
BACK-UP CAMPANA;2346;06:20:00;06:50:00;Produccion;Mañana;i
Adicional Ruta 202;2878;05:50:00;06:50:00;Administracion;Mañana;i
Rec. Sabados Campana;8801;06:20:00;06:50:00;Produccion;Mañana;i
Refuerzo Panamericana y 202;7322;06:00:00;06:50:00;Administracion;Mañana;i
Ruta 202 - (Adm) - Entrada;8764;05:40:00;06:50:00;Administracion;Mañana;i
DEL VISO - Entrada;8806;05:40:00;06:50:00;Produccion;Mañana;i
HENRY FORD;2365;05:52:00;06:52:00;Produccion;Mañana;i
ZARATE 1-(Adm Lavalle)-Entrada;9273;06:25:00;06:55:00;Administracion;Mañana;i
ZTE 4-ENT;2350;06:30:00;06:55:00;Produccion;Mañana;i
LUJAN 2 - Entrada;2548;05:55:00;06:55:00;Produccion;Mañana;i
BSAS-ENT;2535;05:55:00;06:55:00;Produccion;Mañana;i
Adic. Adm. Zarate I - Entrada;11053;06:25:00;06:55:00;Administracion;Mañana;i
BARREF-ENT;519;06:59:00;07:00:00;Administracion;Mañana;i
BS AS 2 (Adm - Centro)-Entrada;2491;06:55:00;07:00:00;Administracion;Mañana;i
PILAR-ENT;573;06:30:00;07:00:00;Administracion;Mañana;i
CAMPANA 2 - Entrada;2343;06:30:00;07:00:00;Produccion;Mañana;i
ZTEREF-ENT;527;06:59:00;07:00:00;Administracion;Mañana;i
CAMPANA 1 (Ref.) - Entrada;521;06:59:00;07:00:00;Administracion;Mañana;i
Adiconal Henry Ford;9689;06:00:00;07:00:00;Administracion;Mañana;i
CAMPANA 1 (Adm-Ariel)-Entrada;7399;06:35:00;07:05:00;Administracion;Mañana;i
Adic. Adm. Campana I - Entrada;11057;06:35:00;07:05:00;Administracion;Mañana;i
CAMPANA 1 (Ref.) - Entrada;2344;06:30:00;07:05:00;Produccion;Mañana;i
ZTE 3-ENT;2349;06:35:00;07:05:00;Produccion;Mañana;i
ZTE 1-ENT;2347;06:35:00;07:05:00;Produccion;Mañana;i
Ent. Ref.Larrea;2353;06:35:00;07:05:00;Produccion;Mañana;i
Ref. Escobar Administrativo;8791;05:40:00;07:10:00;Administracion;Mañana;i
CAMPANA 1 (Adm-Ariel)-Entrada;151;06:40:00;07:10:00;Administracion;Mañana;i
Ent. Ref. Carriego;2351;06:40:00;07:10:00;Produccion;Mañana;i
BACK-UP  ZTE;2354;06:40:00;07:10:00;Administracion;Mañana;i
Rec. Sabado Zarate;8799;06:40:00;07:10:00;Produccion;Mañana;i
adm - cna;1259;06:50:00;07:10:00;Administracion;Mañana;i
BS AS 5 (Adm - S. M.) -Entrada;2495;07:00:00;07:10:00;Administracion;Mañana;i
ZTEADM;216;06:40:00;07:10:00;Administracion;Mañana;i
ZTE 2-ENT;2348;06:35:00;07:10:00;Produccion;Mañana;i
BACK-UP CAMPANA;7319;06:40:00;07:10:00;Administracion;Mañana;i
ZTEREF-ADM;535;06:30:00;07:10:00;Administracion;Mañana;i
ZARATE 1-(Adm Lavalle)-Entrada;7401;06:40:00;07:10:00;Administracion;Mañana;i
BS AS 3 (Adm - Noria)-Entrada;2493;07:00:00;07:10:00;Administracion;Mañana;i
Adic. Adm. Campana 2 - Entrada;11059;06:45:00;07:15:00;Administracion;Mañana;i
CAMPANA 1 (Ref.) - Entrada;2345;06:30:00;07:15:00;Produccion;Mañana;i
Ref. Adm. Maschwitz;8498;07:00:00;07:15:00;Administracion;Mañana;i
MORENO - Entrada;2549;07:00:00;07:15:00;Produccion;Mañana;i
CAMPANA 2 (Adm-Ctro.) Entrada;7400;06:50:00;07:20:00;Administracion;Mañana;i
Ent. Ref. Galesio;2352;06:40:00;07:20:00;Produccion;Mañana;i
Adic. Adm. Lima - Entrada;11041;06:20:00;07:20:00;Administracion;Mañana;i
Ref. Adm. Escobar;8497;06:30:00;07:20:00;Administracion;Mañana;i
ZARATE 1-(Adm Lavalle)-Entrada;3056;06:50:00;07:20:00;Administracion;Mañana;i
LIMA - (Adm) - Entrada;7402;07:10:00;07:20:00;Administracion;Mañana;i
CAMPANA 1 - Entrada;2530;06:40:00;07:20:00;Produccion;Mañana;i
LIMAZTE;665;06:59:00;07:25:00;Administracion;Mañana;i
LIMA - (Adm) - Entrada;4271;07:15:00;07:25:00;Administracion;Mañana;i
BS AS 1 (Adm - Callao)-Entrada;2492;07:20:00;07:25:00;Administracion;Mañana;i
ZARATE 2-(Adm-Galesio)-Entrada;3069;06:55:00;07:25:00;Administracion;Mañana;i
Adm. Lima;1476;06:15:00;07:25:00;Administracion;Mañana;i
LUJAN 1 - Entrada;2547;06:25:00;07:25:00;Produccion;Mañana;i
CAMPANA 2 (Adm-Ctro.) Entrada;2872;07:00:00;07:30:00;Administracion;Mañana;i
ESCOBAR 1 -Entrada;2536;06:30:00;07:30:00;Produccion;Mañana;i
Aeroparque - Capital;10930;07:30:00;07:30:00;Serv. Regular;Mañana;i
ZTEREF-ADM;213;07:05:00;07:35:00;Administracion;Mañana;i
Adic. Adm. Zarate 2 - Entrada;11055;07:05:00;07:35:00;Administracion;Mañana;i
ZARATE 4-(Adm Ceibos)-Entrada;10986;07:05:00;07:35:00;Administracion;Mañana;i
BS AS 4 (Adm - Saav)-Entrada;2494;07:25:00;07:35:00;Administracion;Mañana;i
ADM.BAR.;2509;07:20:00;07:35:00;Administracion;Mañana;i
DEL VISO-ENT;2551;06:40:00;07:40:00;Produccion;Mañana;i
PILAR-ENT;2534;06:45:00;07:45:00;Produccion;Mañana;i
RUTA 197 - ZTE;2553;06:45:00;07:45:00;Produccion;Mañana;i
ESCOBAR 2 (Matheu) - Entrada;2537;06:45:00;07:45:00;Produccion;Mañana;i
Adic. Adm. Ruta 202 - Entrada;11073;07:45:00;07:45:00;Administracion;Mañana;i
HENRY FORD;2552;06:50:00;07:50:00;Produccion;Mañana;i
BACK-UP LUJAN;2550;06:50:00;07:50:00;Produccion;Mañana;i
BACK-UP CAMPANA;2542;07:20:00;07:50:00;Produccion;Mañana;i
BACK-UP CAP FED;2554;06:50:00;07:50:00;Produccion;Mañana;i
ZTE 4-ENT;2541;07:25:00;07:55:00;Produccion;Mañana;i
REF ESCOBAR;533;07:30:00;08:00:00;Administracion;Mañana;i
CAMPANA 2 - Entrada;2531;07:30:00;08:00:00;Produccion;Mañana;i
CAMPANA 1 (Ref.) - Entrada;443;07:59:00;08:00:00;Produccion;Mañana;i
ZTE 3-ENT;2540;07:35:00;08:05:00;Produccion;Mañana;i
Ent. Ref.Larrea;2545;07:35:00;08:05:00;Produccion;Mañana;i
CAMPANA 1 (Ref.) - Entrada;2532;07:35:00;08:05:00;Produccion;Mañana;i
ZTE 1-ENT;2538;07:35:00;08:05:00;Produccion;Mañana;i
adm - cna;2496;07:30:00;08:05:00;Administracion;Mañana;i
ZTE 2-ENT;2539;07:40:00;08:10:00;Produccion;Mañana;i
ZTEADM;2497;07:40:00;08:10:00;Administracion;Mañana;i
Ent. Ref. Carriego;2543;07:40:00;08:10:00;Produccion;Mañana;i
CAMPANA 1 (Ref.) - Entrada;2533;07:45:00;08:15:00;Produccion;Mañana;i
BACK-UP  ZTE;2546;07:50:00;08:20:00;Produccion;Mañana;i
Ent. Ref. Galesio;2544;07:50:00;08:20:00;Produccion;Mañana;i
Over Time S. Andres de Giles;10929;08:25:00;08:25:00;Serv. Regular;Mañana;i
Adm. Lima;2510;07:25:00;08:25:00;Administracion;Mañana;i
Planta TASA - Escobar;11163;08:00:00;08:30:00;CONTRATADO;Noche;v
Escuelas;8795;08:10:00;08:30:00;Administracion;Noche;i
ZTE 4-ENT;2396;08:30:00;08:55:00;Produccion;Mañana;i
DEL VISO - Salida;9977;08:30:00;09:00:00;Produccion;Manana;v
BARADERO - 1 Salida;9963;08:30:00;09:00:00;Produccion;Mañana;v
CAMPANA 2 (Ref.) - Salida;9983;08:30:00;09:00:00;Produccion;Mañana;v
LUJAN 1 - Salida;9969;08:30:00;09:00:00;Produccion;Mañana;v
ZTEREF-ENT;2426;08:30:00;09:00:00;Produccion;Mañana;i
ZARATE 5-(Pellegrini)-Salida;9989;08:30:00;09:00:00;Produccion;Mañana;v
BS AS 3 - HENRY FORD - Salida;9976;08:30:00;09:00:00;Produccion;Mañana;v
BS AS 1 - C. Y S. FE - Salida;9962;08:30:00;09:00:00;Produccion;Mañana;v
CAMPANA 1 (Ref.) - Salida;9982;08:30:00;09:00:00;Produccion;Mañana;v
Lima - Alsina - Salida;9968;08:30:00;09:00:00;Produccion;Mañana;v
CAMPANA 1 (Ref.) - Entrada;2425;08:55:00;09:00:00;Produccion;Mañana;i
ZARATE 4-(Lavalle)-Salida;9988;08:30:00;09:00:00;Produccion;Mañana;v
BS AS 2 - RUTA 197 - Salida;9974;08:30:00;09:00:00;Produccion;Mañana;v
ALSINA - Salida;9995;08:30:00;09:00:00;Produccion;Mañana;v
CAMPANA 1 - Salida;9981;08:30:00;09:00:00;Produccion;Mañana;v
SAN PEDRO 2 - Salida;9967;08:30:00;09:00:00;Produccion;Mañana;v
ZARATE 3-(S. Lorenzo)-Salida;9987;08:30:00;09:00:00;Produccion;Mañana;v
Ref. 202 Salida;9973;08:30:00;09:00:00;Produccion;Mañana;v
LIMA - Salida;9994;08:30:00;09:00:00;Produccion;Mañana;v
ESCOBAR 2 -(Matheu)- Salida;9980;08:30:00;09:00:00;Produccion;Mañana;v
SAN PEDRO 1 - Salida;9966;08:30:00;09:00:00;Produccion;Mañana;v
ZARATE 2-(Los Ciebos)-Salida;9986;08:30:00;09:00:00;Produccion;Mañana;v
MORENO - Salida;9972;08:30:00;09:00:00;Produccion;Mañana;v
ZARATE (Ref. Z4-Lav)-Salida;9992;08:30:00;09:00:00;Produccion;Mañana;v
ESCOBAR 1 -Salida;9979;08:30:00;09:00:00;Produccion;Mañana;v
BARADERO - 3 Salida;9965;08:30:00;09:00:00;Produccion;Mañana;v
ZARATE 1-(P. Ind.)-Salida;9985;08:30:00;09:00:00;Produccion;Mañana;v
Ref. Lujan 2 - Salida;9971;08:30:00;09:00:00;Produccion;Mañana;v
ZARATE (Ref.Z6 R. Noya)-Salida;9991;08:30:00;09:00:00;Produccion;Mañana;v
PILAR - Salida;9978;08:30:00;09:00:00;Produccion;Mañana;v
BARADERO - 2 Salida;9964;08:30:00;09:00:00;Produccion;Mañana;v
CAMPANA 2 - Salida;9984;08:30:00;09:00:00;Produccion;Mañana;v
LUJAN 2 - Salida;9970;08:30:00;09:00:00;Produccion;Mañana;v
ZARATE 6-(R. Noya)-Salida;9990;08:30:00;09:00:00;Produccion;Mañana;v
Ent. Ref. Carriego;2397;08:30:00;09:05:00;Produccion;Mañana;i
ZTE 3-ENT;2403;08:30:00;09:05:00;Produccion;Mañana;i
ZTE 1-ENT;2401;08:30:00;09:05:00;Produccion;Mañana;i
ZTE 2-ENT;2402;08:30:00;09:10:00;Produccion;Mañana;i
BACK-UP  ZTE;2400;08:40:00;09:10:00;Produccion;Mañana;i
Ent. Ref.Larrea;2399;08:40:00;09:10:00;Produccion;Mañana;i
Ent. Ref. Galesio;2398;08:40:00;09:10:00;Produccion;Mañana;i
PILAR-SAL;379;09:29:00;09:30:00;Produccion;Mañana;v
BAR 1-SAL.;366;09:29:00;09:30:00;Produccion;Mañana;v
ZTEREF-SAL;385;09:29:00;09:30:00;Produccion;Mañana;v
LUJAN 1 - Salida;372;09:29:00;09:30:00;Produccion;Mañana;v
BSASREF-SAL;378;09:29:00;09:30:00;Produccion;Mañana;v
CNAREF-SAL;365;09:29:00;09:30:00;Produccion;Mañana;v
ZTEREF-SAL;384;09:29:00;09:30:00;Produccion;Mañana;v
ESCOBAR 1 -Salida;371;09:29:00;09:30:00;Produccion;Mañana;v
SPEDROREF-SAL;377;09:29:00;09:30:00;Produccion;Mañana;v
ZTE 4-SAL;383;09:29:00;09:30:00;Produccion;Mañana;v
DEL VISO-SAL;370;09:29:00;09:30:00;Produccion;Mañana;v
S.PEDRO-SAL.;376;09:29:00;09:30:00;Produccion;Mañana;v
CAMPANA 2 - Salida;363;09:29:00;09:30:00;Produccion;Mañana;v
ZTE 3-SAL.;382;09:29:00;09:30:00;Produccion;Mañana;v
BSAS-SAL.;369;09:29:00;09:30:00;Produccion;Mañana;v
LIMAZTE;375;09:29:00;09:30:00;Produccion;Mañana;v
CAMPANA 1- Salida;362;09:29:00;09:30:00;Produccion;Mañana;v
ZTE 2-SAL.;381;09:29:00;09:30:00;Produccion;Mañana;v
BARREF-SAL;368;09:29:00;09:30:00;Produccion;Mañana;v
ALSINA - Salida;374;09:29:00;09:30:00;Produccion;Mañana;v
ZTE 1-SAL.;380;09:29:00;09:30:00;Produccion;Mañana;v
BAR 2-SAL.;367;09:29:00;09:30:00;Produccion;Mañana;v
ZTEREF-SAL;386;09:29:00;09:30:00;Produccion;Mañana;v
LUJAN 2 - Salida;373;09:29:00;09:30:00;Produccion;Mañana;v
BSAS-ENT;2514;08:50:00;09:50:00;Produccion;Mañana;i
BACK-UP CAP FED;2517;08:50:00;09:50:00;Produccion;Mañana;i
LUJAN 2 - Entrada;2456;08:55:00;09:55:00;Produccion;Mañana;i
ESCUELAS DE ZARATE;11544;09:30:00;10:00:00;Administracion;Mañana;i
MORENO - Entrada;2457;09:30:00;10:15:00;Produccion;Mañana;i
CAMPANA 1 - Entrada;2498;10:00:00;10:25:00;Administracion;Mañana;i
LUJAN 1 - Entrada;2455;09:25:00;10:25:00;Produccion;Mañana;i
Rec. Sabados S Miguel - Salida;11001;10:20:00;10:25:00;Eventual;Mañana;i
RUTA 197 - ZTE;2516;09:30:00;10:30:00;Produccion;Mañana;i
ESCOBAR 1 -Entrada;2452;09:30:00;10:30:00;Produccion;Mañana;i
PILAR-ENT;2450;09:30:00;10:30:00;Produccion;Mañana;i
ESCUELAS DE ZARATE;11545;10:20:00;10:30:00;Administracion;Mañana;i
ESCOBAR 2 (Matheu) - Entrada;2453;09:30:00;10:30:00;Produccion;Mañana;i
DEL VISO-ENT;2454;09:40:00;10:40:00;Produccion;Mañana;i
CAMPANA 1 (Ref.) - Entrada;2500;10:20:00;10:50:00;Produccion;Mañana;i
BSAS-ENT;2451;10:00:00;10:50:00;Produccion;Mañana;i
BACK-UP CAP FED;2468;09:50:00;10:50:00;Produccion;Mañana;i
BACK-UP CAMPANA;2502;10:30:00;10:50:00;Produccion;Mañana;i
HENRY FORD;2515;09:50:00;10:52:00;Produccion;Mañana;i
LUJAN 2 - Entrada;2477;09:55:00;10:55:00;Produccion;Mañana;i
BS AS - ENTRADA 13 HS;11610;10:40:00;10:55:00;Produccion;Tarde;i
Alberti Ref. Del Viso - Ent;11071;10:40:00;10:55:00;Produccion;Tarde;i
ZTE 4-ENT;2506;10:25:00;10:55:00;Produccion;Tarde;i
Adic. Adm. Zarate 2 - Entrada;11046;10:25:00;10:55:00;Produccion;Mañana;i
Adic. Adm. Zarate I -Salida;11043;10:25:00;10:55:00;Produccion;Mañana;i
Adic. Adm. Zarate 2 -Salida;11049;10:30:00;11:00:00;Produccion;Mañana;i
CAMPANA 2 - Entrada;2499;10:30:00;11:00:00;Administracion;Mañana;i
Adic. Adm. Campana I - Entrada;11052;11:00:00;11:00:00;Produccion;Mañana;i
Rec. Sabado Bs. As.;9805;09:00:00;11:00:00;Produccion;Tarde;i
Rec. Sabado San Pedro;2953;10:00:00;11:00:00;Produccion;Tarde;i
ZTE 3-ENT;2505;10:35:00;11:05:00;Produccion;Tarde;i
Ent. Ref.Larrea;2512;10:35:00;11:05:00;Produccion;Tarde;i
ZTE 1-ENT;2503;10:35:00;11:05:00;Produccion;Tarde;i
BACK-UP  ZTE;2507;10:30:00;11:10:00;Produccion;Tarde;i
Adic. Adm. Campana 2 - Entrada;11055;11:10:00;11:10:00;Produccion;Mañana;i
ZTE 2-ENT;2504;10:40:00;11:10:00;Produccion;Mañana;i
Ent. Ref. Carriego;2511;10:40:00;11:10:00;Produccion;Mañana;i
BSAS-ENT;2843;10:10:00;11:10:00;Produccion;Mañana;i
CAMPANA 1 (Ref.) - Entrada;2501;10:45:00;11:15:00;Produccion;Mañana;i
Over Time Del Viso;10923;11:15:00;11:15:00;Serv. Regular;Mañana;v
MORENO - Entrada;2479;10:45:00;11:15:00;Produccion;Mañana;i
Toyota - Puerto Zte.;1752;11:00:00;11:15:00;Produccion;Mañana;i
Ent. Ref. Galesio;2513;10:40:00;11:20:00;Produccion;Mañana;i
LUJAN 1 - Entrada;2475;10:25:00;11:25:00;Produccion;Mañana;i
CAMPANA 1 - Entrada;2443;10:45:00;11:25:00;Produccion;Mañana;i
Rec. Sabado Lujan;9803;10:55:00;11:25:00;Produccion;Tarde;i
PILAR-ENT;2484;10:30:00;11:30:00;Produccion;Mañana;i
RUTA 197 - ZTE;2466;10:30:00;11:30:00;Produccion;Tarde;i
S.PEDRO 1-ENT;2840;11:00:00;11:30:00;Produccion;Mañana;i
BARADERO ENTRADA;2839;10:30:00;11:30:00;Produccion;Mañana;i
San Pedro - Entrada 13 hs.;11614;11:00:00;11:30:00;Produccion;Tarde;i
ESCOBAR 2 (Matheu) - Entrada;2488;10:30:00;11:30:00;Produccion;Mañana;i
ESCOBAR 1 -Entrada;2486;10:30:00;11:30:00;Produccion;Mañana;i
Rec. Sabado Bs. As.;9745;10:00:00;11:30:00;Produccion;Mañana;i
Pilar - Del Viso - Entrada 13 hs.;11599;11:25:00;11:35:00;Produccion;Mañana;i
Lujan - Entrada 13 hs.;11597;11:30:00;11:40:00;Produccion;Mañana;i
DEL VISO-ENT;2482;10:40:00;11:40:00;Produccion;Mañana;i
Rec. Sabado San Pedro;9804;11:00:00;11:40:00;Produccion;Tarde;i
SAN MIGUEL - ENTRADA 13 HS;11612;11:20:00;11:40:00;Produccion;Tarde;i
Rec. Sabados Baradero;2951;11:00:00;11:40:00;Produccion;Tarde;i
LUJAN 1 - Salida;2817;11:15:00;11:45:00;Produccion;Mañana;v
Z7 - Carriego - Sal.;3113;11:15:00;11:45:00;Produccion;Mañana;v
CAMPANA 2 (Ref.) - Salida;2804;11:15:00;11:45:00;Produccion;Mañana;v
BSAS-SAL.;2825;11:15:00;11:45:00;Produccion;Mañana;v
ALSINA - Salida;2810;11:15:00;11:45:00;Produccion;Mañana;v
ZTEREF-SAL;2816;11:15:00;11:45:00;Produccion;Mañana;v
Rec. Sabado Lujan;2956;11:15:00;11:45:00;Produccion;Tarde;i
ZARATE 5-(Pellegrini)-Salida;3112;11:15:00;11:45:00;Produccion;Mañana;v
CAMPANA 1 (Ref.) - Salida;2803;11:15:00;11:45:00;Produccion;Mañana;v
ESCOBAR 2 -(Matheu)- Salida;2822;11:15:00;11:45:00;Produccion;Mañana;v
S.PEDRO 1-SAL;2809;10:45:00;11:45:00;Produccion;Mañana;v
ZTE 4-SAL.;2815;11:15:00;11:45:00;Produccion;Mañana;v
ZARATE 4-(Lavalle)-Salida;3111;11:15:00;11:45:00;Produccion;Mañana;v
ZARATE (Ref. Z3 S. L)-Entrada;3280;11:15:00;11:45:00;Produccion;Mañana;v
CAMPANA 2 - Salida;2802;11:15:00;11:45:00;Produccion;Mañana;v
ESCOBAR 1 -Salida;2821;11:15:00;11:45:00;Produccion;Mañana;v
S.PEDRO-SAL.;2808;11:15:00;11:45:00;Produccion;Mañana;v
ZARATE 6-(R. Noya)-Salida;3248;11:15:00;11:45:00;Produccion;Tarde;v
ZTE 3-SAL.;2814;11:15:00;11:45:00;Produccion;Mañana;v
ZARATE 3-(S. Lorenzo)-Salida;3110;11:15:00;11:45:00;Produccion;Mañana;v
CAMPANA 1- Salida;2801;11:15:00;11:45:00;Produccion;Mañana;v
DEL VISO-SAL;2820;11:15:00;11:45:00;Produccion;Mañana;v
BARREF-SAL;2807;11:15:00;11:45:00;Produccion;Mañana;v
PILAR-SAL;2837;11:15:00;11:45:00;Produccion;Mañana;v
ZTE 2-SAL.;2813;11:15:00;11:45:00;Produccion;Mañana;v
ZARATE 2-(Galesio)-Salida;3109;11:15:00;11:45:00;Produccion;Mañana;v
MORENO - Salida;2819;10:45:00;11:45:00;Produccion;Mañana;v
BAR 2-SAL.;2806;11:15:00;11:45:00;Produccion;Mañana;v
BS AS 4 (Adm - Saav)-Salida;2827;11:15:00;11:45:00;Produccion;Mañana;v
ZTE 1-SAL.;2812;11:15:00;11:45:00;Produccion;Mañana;v
ZARATE 1-(P. Ind.)-Salida;3108;11:15:00;11:45:00;Produccion;Mañana;v
Baradero - Entrada 13 hs.;11598;11:35:00;11:45:00;Produccion;Mañana;i
LUJAN 2 - Salida;2818;11:15:00;11:45:00;Produccion;Mañana;v
BAR 1-SAL.;2805;11:15:00;11:45:00;Produccion;Mañana;v
Over Time San Miguel;10924;11:45:00;11:45:00;Serv. Regular;Mañana;v
HENRY FORD SAL.;2826;11:15:00;11:45:00;Produccion;Mañana;v
ZTELIMA;2811;11:15:00;11:45:00;Produccion;Mañana;v
Z6 - R. Noya - Sal.;3107;11:15:00;11:45:00;Produccion;Mañana;v
ZARATE (Ref. Z4-Lav)-Salida;3261;11:15:00;11:45:00;Produccion;Mañana;v
PILAR-ENT;2957;11:10:00;11:50:00;Produccion;Tarde;i
BACK-UP CAMPANA;2469;11:20:00;11:50:00;Produccion;Mañana;i
LUJAN 2 - Entrada;8702;11:20:00;11:50:00;Produccion;Tarde;i
Ref. Lujan 2 ;8707;09:50:00;11:50:00;Produccion;Tarde;i
CAMPANA 1 (Ref.) - Entrada;2446;11:20:00;11:50:00;Produccion;Mañana;i
HENRY FORD;2465;11:30:00;11:52:00;Produccion;Tarde;i
Escobar - Entrada 13 hs.;11601;11:45:00;11:55:00;Produccion;Mañana;i
ZTE 4-ENT;2461;11:25:00;11:55:00;Produccion;Mañana;i
ESCOBAR 2 (Matheu) - Entrada;2842;11:00:00;12:00:00;Produccion;Mañana;i
Rec. Sabado San Pedro;7876;11:30:00;12:00:00;Produccion;Tarde;i
